station,deploy_lat,deploy_long,deploy_date_time
CUY-024,41.2317,-81.54682,2023-01-19 20:53
LSR-021,41.35264,-83.11129,2023-01-26 15:30
CUY-028,41.29626,-81.5705,2023-03-06 17:35
CUY-023,41.21587,-81.56212,2023-03-07 22:15
CUY-020,41.16206,-81.57436,2023-03-07 22:50
CUY-010,41.1229,-81.4956,2023-03-08 19:15
SRVPS-040,41.4121,-83.0811,2023-03-13 13:52
SRVPS-039,41.4127,-83.0809,2023-03-13 14:59
SRVPS-037,41.4135,-83.0831,2023-03-13 15:02
SRVPS-038,41.4131,-83.0834,2023-03-13 15:04
SRVPS-036,41.4145,-83.0857,2023-03-13 15:05
SRVPS-035,41.4145,-83.0849,2023-03-13 15:08
SRVPS-034,41.4165,-83.0861,2023-03-13 15:17
SRVPS-033,41.4165,-83.0853,2023-03-13 15:19
SRVPS-031,41.418,-83.0844,2023-03-13 15:20
SRVPS-032,41.4187,-83.0846,2023-03-13 15:22
SRVPS-030,41.4196,-83.0826,2023-03-13 15:23
SRVPS-029,41.4195,-83.0822,2023-03-13 15:24
SRVPS-028,41.4199,-83.0806,2023-03-13 15:26
SRVPS-027,41.42,-83.08,2023-03-13 15:27
SRVPS-026,41.4199,-83.0776,2023-03-13 15:28
SRVPS-025,41.4198,-83.0777,2023-03-13 16:14
SRVPS-024,41.4197,-83.0751,2023-03-13 16:17
SRVPS-023,41.4193,-83.075,2023-03-13 16:20
SRVPS-022,41.4194,-83.0731,2023-03-13 16:21
SRVPS-021,41.4191,-83.0733,2023-03-13 16:23
SRVPS-019,41.4198,-83.0708,2023-03-13 16:24
SRVPS-020,41.4201,-83.071,2023-03-13 16:26
SRVPS-017,41.4216,-83.0689,2023-03-13 16:29
SRVPS-018,41.4222,-83.0688,2023-03-13 16:30
SRVPS-015,41.4227,-83.0675,2023-03-13 16:36
SRVPS-016,41.423,-83.067,2023-03-13 16:39
SRVPS-014,41.423,-83.0652,2023-03-13 16:41
SRVPS-013,41.4228,-83.0656,2023-03-13 16:42
SRVPS-012,41.4226,-83.0638,2023-03-13 16:44
SRVPS-011,41.4223,-83.0633,2023-03-13 16:50
SRVPS-001,41.4292,-83.0579,2023-03-13 17:10
SRVPS-002,41.4299,-83.059,2023-03-13 17:12
SRVPS-003,41.4289,-83.0614,2023-03-13 17:18
SRVPS-004,41.4283,-83.061,2023-03-13 17:21
SRVPS-005,41.4271,-83.0614,2023-03-13 17:24
SRVPS-006,41.427,-83.0617,2023-03-13 17:30
SRVPS-007,41.425,-83.0614,2023-03-13 17:32
SRVPS-008,41.4246,-83.0615,2023-03-13 17:38
SRVPS-009,41.4228,-83.061,2023-03-13 17:42
SRVPS-010,41.4235,-83.0617,2023-03-13 17:45
WRC-008,41.6302,-83.0772,2023-03-21 18:57
WRC-009,41.6355,-83.04691,2023-03-21 19:03
WRC-012,41.6191,-83.0262,2023-03-21 19:07
WRC-013,41.6264,-83.0077,2023-03-21 19:11
WRC-016,41.6085,-83.0054,2023-03-21 19:14
WRC-017,41.61,-82.965,2023-03-21 19:21
WRC-014,41.6201,-82.9837,2023-03-21 19:24
WRC-015,41.6255,-82.9502,2023-03-21 19:32
WRC-007,41.6529,-82.9518,2023-03-21 19:37
WRC-004,41.6676,-82.9793,2023-03-21 19:43
WRC-011,41.6399,-82.9732,2023-03-21 19:49
WRC-010,41.6347,-82.9986,2023-03-21 19:54
WRC-003,41.6718,-83.0222,2023-03-21 20:03
WRC-006,41.6494,-83.0348,2023-03-21 20:08
WRC-002,41.6668,-83.0665,2023-03-21 20:12
WRC-001,41.6727,-83.1071,2023-03-21 20:18
WRC-005,41.6511,-83.1008,2023-03-21 20:22
LET-001,41.73966,-81.26274,2023-03-22 13:03
LET-002,41.74228,-81.04752,2023-03-22 14:14
LET-003,41.75421,-80.94833,2023-03-22 15:59
LET-004,41.94715,-80.54957,2023-03-22 17:23
LET-005,41.93367,-80.58908,2023-03-22 18:55
LSR-002,41.43825,-83.03791,2023-03-30 15:20
ENS-504,41.3927,-82.5121,2023-04-06 04:00
SBI-001,41.35967,-83.09971,2023-04-12 16:26
SBI-002,41.35951,-83.10059,2023-04-12 16:28
SBI-003,41.35867,-83.10042,2023-04-12 16:32
SBI-004,41.35856,-83.10137,2023-04-12 16:36
SBI-005,41.35732,-83.10193,2023-04-12 16:53
SBI-006,41.358,-83.10227,2023-04-12 17:05
SBI-007,41.35625,-83.10336,2023-04-12 17:10
SBI-008,41.35706,-83.10383,2023-04-12 17:12
SBI-009,41.35613,-83.10569,2023-04-12 17:20
SBI-010,41.35535,-83.10605,2023-04-12 17:23
SBI-011,41.35499,-83.10802,2023-04-12 17:40
SBI-012,41.35484,-83.10717,2023-04-12 17:42
SBI-013,41.35352,-83.10945,2023-04-12 17:46
SBI-014,41.35402,-83.10956,2023-04-12 17:52
SBI-015,41.35307,-83.11031,2023-04-12 17:55
SBI-016,41.35247,-83.11052,2023-04-12 18:14
SBI-017,41.3521,-83.11161,2023-04-12 18:19
SBI-018,41.35555,-83.10422,2023-04-12 18:37
SBI-019,41.35476,-83.10459,2023-04-12 18:40
SBI-020,41.35436,-83.1048,2023-04-12 18:43
SBI-021,41.35385,-83.10517,2023-04-12 18:46
SBI-022,41.35351,-83.10585,2023-04-12 18:49
SBI-023,41.35308,-83.10605,2023-04-12 19:00
SBI-024,41.35269,-83.10606,2023-04-12 19:10
CUY-026,41.25518,-81.54969,2023-04-18 09:40
CUY-025,41.24464,-81.55424,2023-04-18 10:55
CUY-027,41.27951,-81.56181,2023-04-18 12:35
CUY-022,41.19054,-81.57549,2023-04-18 13:40
CUY-021,41.17735,-81.58031,2023-04-18 14:25
CUY-011,41.12344,-81.49782,2023-04-18 15:40
ENS-401,41.4028,-82.5353,2023-04-25 18:01
ENS-201,41.4109,-82.5537,2023-04-26 14:19
MDR-010,41.95712,-83.10572,2023-04-26 14:32
LEG-1006,41.4527,-82.5726,2023-04-26 14:43
MDR-003,41.99979,-83.13148,2023-04-26 14:56
LEG-906,41.5824,-82.584,2023-04-26 15:12
MDR-011,41.97377,-83.14685,2023-04-26 15:14
MDR-001,42.04265,-83.15257,2023-04-26 15:38
LEG-806,41.7497,-82.5828,2023-04-26 15:39
MDR-013,42.04257,-83.12833,2023-04-26 15:57
ENS-101,41.7344,-82.6537,2023-04-26 15:58
DRL-010,42.07392,-83.12195,2023-04-26 16:17
WBA-014,41.7168,-82.7605,2023-04-26 16:32
DRL-013,42.07966,-83.11776,2023-04-26 16:37
DRL-011,42.08589,-83.11755,2023-04-26 16:52
ENS-112,41.6892,-82.7977,2023-04-26 16:55
ENS-113,41.6605,-82.8151,2023-04-26 17:12
DRL-012,42.08003,-83.13162,2023-04-26 17:29
DRL-006,42.08794,-83.1723,2023-04-26 18:07
DRL-001,42.0934,-83.17969,2023-04-26 18:23
LEG-026,41.6774,-82.7726,2023-04-26 18:28
DRL-014,42.14344,-83.17152,2023-04-26 18:50
ENS-111,41.6199,-82.6949,2023-04-26 18:50
DRL-005,42.08411,-83.18179,2023-04-26 19:26
SRVPS-047,41.43748,-83.03691,2023-05-01 13:45
SRVPS-069,41.43812,-83.03891,2023-05-01 13:51
SRVPS-065,41.43773,-83.03922,2023-05-01 13:54
SRVPS-043,41.43764,-83.04122,2023-05-01 13:57
