deployment_id,time,latitude,longitude,receiver_model,receiver_reference_id,array_name,project_reference,recovery_datetime_utc
,UTC,degrees_north,degrees_east,,,,,UTC
11-BAYFRONT MARINA-VR2W-113051-2017_08_16T23,2017-08-16T23:00:00Z,43.27738,-79.86687,VR2W,V2LWLONA_11-BAYFRONT MARINA,V2LWLONA,V2LWLONA,2017-10-24T19:52:00Z
11-BAYFRONT MARINA-VR2W-113051-2017_10_24T20,2017-10-24T20:14:00Z,43.27738,-79.86687,VR2W,V2LWLONA_11-BAYFRONT MARINA,V2LWLONA,V2LWLONA,2018-04-27T14:00:00Z
11-BAYFRONT MARINA-VR2W-113051-2018_04_27T17,2018-04-27T17:37:00Z,43.27738,-79.86687,VR2W,V2LWLONA_11-BAYFRONT MARINA,V2LWLONA,V2LWLONA,2018-10-29T19:00:00Z
11-BAYFRONT MARINA-VR2W-113051-2018_10_29T19,2018-10-29T19:54:00Z,43.27738,-79.86687,VR2W,V2LWLONA_11-BAYFRONT MARINA,V2LWLONA,V2LWLONA,2019-05-14T21:02:00Z
12-BRONTE CREEK DS-VR2W-112334-2017_04_11T22,2017-04-11T22:00:00Z,43.3927,-79.70669,VR2W,V2LWLONA_12-BRONTE CREEK DS,V2LWLONA,V2LWLONA,2017-11-28T17:55:00Z
12-BRONTE CREEK DS-VR2W-112334-2018_03_21T18,2018-03-21T18:00:00Z,43.3927,-79.70669,VR2W,V2LWLONA_12-BRONTE CREEK DS,V2LWLONA,V2LWLONA,2018-11-07T20:15:00Z
13-FORTY MILE CREEK-VR2W-112355-2017_04_27T19,2017-04-27T19:14:00Z,43.20479,-79.55181,VR2W,V2LWLONA_13-FORTY MILE CREEK,V2LWLONA,V2LWLONA,2017-11-24T20:13:00Z
14-WELLAND CANAL US-VR2W-112401-2017_04_29T17,2017-04-29T17:00:00Z,43.22843,-79.21598,VR2W,V2LWLONA_14-WELLAND CANAL US,V2LWLONA,V2LWLONA,2017-11-24T17:00:00Z
14-WELLAND CANAL US-VR2W-112401-2018_01_31T17,2018-01-31T17:00:00Z,43.24452,-79.21571,VR2W,V2LWLONA_14-WELLAND CANAL US,V2LWLONA,V2LWLONA,2018-07-24T18:00:00Z
14-WELLAND CANAL US-VR2W-112401-2018_07_24T18,2018-07-24T18:05:00Z,43.24452,-79.21571,VR2W,V2LWLONA_14-WELLAND CANAL US,V2LWLONA,V2LWLONA,2018-12-19T18:37:00Z
14-WELLAND CANAL US-VR2W-112401-2018_12_19T18,2018-12-19T18:52:00Z,43.24452,-79.21571,VR2W,V2LWLONA_14-WELLAND CANAL US,V2LWLONA,V2LWLONA,2019-05-14T21:02:00Z
15-WELLAND CANAL DS-VR2W-119159-2017_04_27T14,2017-04-27T14:00:00Z,43.24455,-79.21567,VR2W,V2LWLONA_15-WELLAND CANAL DS,V2LWLONA,V2LWLONA,2017-11-24T17:00:00Z
15-WELLAND CANAL DS-VR2W-119159-2018_01_31T18,2018-01-31T18:33:00Z,43.22842,-79.21602,VR2W,V2LWLONA_15-WELLAND CANAL DS,V2LWLONA,V2LWLONA,2018-07-24T16:05:00Z
15-WELLAND CANAL DS-VR2W-119159-2018_07_24T17,2018-07-24T17:28:00Z,43.22842,-79.21602,VR2W,V2LWLONA_15-WELLAND CANAL DS,V2LWLONA,V2LWLONA,2018-12-19T20:38:00Z
15-WELLAND CANAL DS-VR2W-119159-2018_12_19T20,2018-12-19T20:53:00Z,43.22842,-79.21602,VR2W,V2LWLONA_15-WELLAND CANAL DS,V2LWLONA,V2LWLONA,
16-BRONTE CREEK US-VR2W-113609-2017_04_25T04,2017-04-25T04:00:00Z,43.39175,-79.71353,VR2W,V2LWLONA_16-BRONTE CREEK US,V2LWLONA,V2LWLONA,2017-11-28T17:50:00Z
16-BRONTE CREEK US-VR2W-113609-2018_03_21T18,2018-03-21T18:00:00Z,43.39175,-79.71353,VR2W,V2LWLONA_16-BRONTE CREEK US,V2LWLONA,V2LWLONA,2018-11-07T18:55:00Z
17-OAKVILLE CREEK DS-VR2W-120181-2017_04_25T04,2017-04-25T04:00:00Z,43.43946,-79.66604,VR2W,V2LWLONA_17-OAKVILLE CREEK DS,V2LWLONA,V2LWLONA,2017-11-27T17:00:00Z
