station,glatos_array,consecutive_deploy_no,deploy_lat,deploy_long,deploy_date_time,recover_date_time,ins_model_no,glatos_ins_frequency,receiver_sn,code_map,code_map_comment,glatos_seasonal,glatos_project
ASB-010,ASB,1,44.407,-83.322,2023-04-11 19:03:00,2023-08-28 16:44:00,VR2W,69,119383,MAP-115,,Yes,ASRSH
ASB-009,ASB,1,44.409,-83.327,2023-04-11 19:14:00,2023-08-28 16:53:00,VR2W,69,131356,MAP-115,,Yes,ASRSH
ASB-008,ASB,1,44.413,-83.33,2023-04-11 19:25:00,2023-08-28 17:05:00,VR2W,69,119374,MAP-115,,Yes,ASRSH
ASB-006,ASB,1,44.427,-83.342,2023-04-11 20:00:00,2023-09-06 15:35:00,VR2W,69,113220,MAP-115,,Yes,ASRSH
VEC-001,VEC,1,44.431,-83.341,2023-04-11 20:31:00,2023-08-29 20:00:00,VR2W,69,119395,MAP-115,,Yes,ASRSH
ASB-007,ASB,1,44.429,-83.344,2023-04-11 20:39:00,2023-09-06 15:15:00,VR2W,69,131399,MAP-115,,Yes,ASRSH
ASB-005,ASB,1,44.433,-83.388,2023-04-11 21:19:00,2023-08-29 18:30:00,VR2W,69,131375,MAP-115,,Yes,ASRSH
ASB-004,ASB,1,44.433,-83.395,2023-04-11 21:27:00,2023-08-29 18:15:00,VR2W,69,119390,MAP-115,,Yes,ASRSH
ASB-001,ASB,1,44.437,-83.437,2023-04-11 22:12:00,2023-08-29 17:00:00,VR2W,69,131408,MAP-115,,Yes,ASRSH
ASB-003,ASB,1,44.432,-83.437,2023-04-11 22:24:00,2023-08-29 16:00:00,VR2W,69,113213,MAP-115,,Yes,ASRSH
ASB-002,ASB,1,44.434,-83.436,2023-04-11 22:30:00,2023-08-29 16:30:00,VR2W,69,131395,MAP-115,,Yes,ASRSH
ALH-002,ALH,1,44.398,-83.315,2023-04-13 19:18:00,2023-08-28 16:20:00,VR2AR,69,548721,Generation 2,,Yes,ASRSH
ALH-005,ALH,1,44.398,-83.303,2023-04-13 19:25:00,2023-08-28 16:13:00,VR2AR,69,546310,Generation 2,,Yes,ASRSH
ALH-009,ALH,1,44.396,-83.291,2023-04-13 19:31:00,2023-08-28 16:05:00,VR2AR,69,548778,Generation 2,,Yes,ASRSH
ALH-007,ALH,1,44.403,-83.283,2023-04-13 19:36:00,2023-08-28 15:52:00,VR2AR,69,552285,Generation 2,,Yes,ASRSH
ALH-004,ALH,1,44.405,-83.296,2023-04-13 19:43:00,2023-08-28 15:58:00,VR2AR,69,548681,Generation 2,,Yes,ASRSH
ALH-006,ALH,1,44.412,-83.287,2023-04-13 19:47:00,2023-08-28 15:44:00,VR2AR,69,548210,Generation 2,,Yes,ASRSH
ALH-003,ALH,1,44.413,-83.301,2023-04-13 19:53:00,2023-08-28 15:38:00,VR2AR,69,547608,Generation 2,,Yes,ASRSH
ALH-008,ALH,1,44.414,-83.315,2023-04-13 19:59:00,2023-08-28 15:36:00,VR2AR,69,548781,Generation 2,,Yes,ASRSH
ALH-001,ALH,1,44.406,-83.309,2023-04-13 20:06:00,2023-08-28 16:21:00,VR2AR,69,548735,Generation 2,,Yes,ASRSH
STI-001,STI,1,48.868,-88.014,2021-05-27 16:03:00,2021-09-27 16:50:00,VR2W,69,131711,MAP-114,,Yes,BBWAT
MAZ-001,MAZ,1,48.995,-88.051,2021-05-27 17:04:00,2021-09-23 17:35:00,VR2W,69,134756,MAP-114,,No,BBWAT
BHE-931,BHE,1,42.872,-78.896,2014-06-04 14:12:00,2014-07-15 04:00:00,VR2W,69,112370,MAP-113,,Yes,BHLAS
BHE-930,BHE,1,42.878,-78.901,2014-06-04 14:23:00,2014-07-15 04:00:00,VR2W,69,114257,MAP-113,,Yes,BHLAS
BHE-926,BHE,1,42.871,-78.907,2014-06-04 14:44:00,2014-08-06 14:50:00,VR2W,69,124302,MAP-113,,Yes,BHLAS
BHE-925,BHE,1,42.866,-78.898,2014-06-04 14:52:00,2014-07-15 04:00:00,VR2W,69,112371,MAP-113,,Yes,BHLAS
BHE-924,BHE,1,42.864,-78.89,2014-06-04 14:57:00,2014-08-06 14:14:00,VR2W,69,124300,MAP-113,,Yes,BHLAS
BHE-929,BHE,1,42.882,-78.908,2014-06-04 16:34:00,2014-07-15 04:00:00,VR2W,69,114258,MAP-113,,Yes,BHLAS
BHE-901,BHE,1,42.874,-78.942,2014-06-10 15:20:00,2014-08-05 12:44:00,VR2W,69,124298,MAP-113,,Yes,BHLAS
BHE-902,BHE,1,42.867,-78.941,2014-06-10 15:30:00,2014-08-05 13:02:00,VR2W,69,124315,MAP-113,,Yes,BHLAS
BHE-903,BHE,1,42.859,-78.94,2014-06-10 15:35:00,2014-08-05 13:20:00,VR2W,69,124297,MAP-113,,Yes,BHLAS
BHE-904,BHE,1,42.851,-78.939,2014-06-10 15:40:00,2014-08-05 13:34:00,VR2W,69,124296,MAP-113,,Yes,BHLAS
BHE-905,BHE,1,42.845,-78.938,2014-06-10 15:50:00,2014-08-05 13:54:00,VR2W,69,124313,MAP-113,,Yes,BHLAS
BHE-906,BHE,1,42.841,-78.93,2014-06-10 15:55:00,2014-08-05 14:18:00,VR2W,69,124290,MAP-113,,Yes,BHLAS
BHE-907,BHE,1,42.839,-78.921,2014-06-10 16:00:00,2014-08-05 14:30:00,VR2W,69,124318,MAP-113,,Yes,BHLAS
BHE-908,BHE,1,42.837,-78.911,2014-06-10 16:10:00,2014-08-05 14:48:00,VR2W,69,124307,MAP-113,,Yes,BHLAS
BHE-909,BHE,1,42.835,-78.902,2014-06-10 17:00:00,2014-08-05 15:03:00,VR2W,69,124308,MAP-113,,Yes,BHLAS
BHE-910,BHE,1,42.834,-78.892,2014-06-10 17:10:00,2015-07-07 16:00:00,VR2W,69,124294,MAP-113,,Yes,BHLAS
BHE-911,BHE,1,42.832,-78.882,2014-06-10 17:15:00,2014-08-05 15:43:00,VR2W,69,124293,MAP-113,,Yes,BHLAS
BHE-912,BHE,1,42.839,-78.885,2014-06-10 17:25:00,2014-08-05 16:00:00,VR2W,69,124291,MAP-113,,Yes,BHLAS
BHE-913,BHE,1,42.841,-78.895,2014-06-10 17:30:00,2014-08-05 16:12:00,VR2W,69,124303,MAP-113,,Yes,BHLAS
BHE-914,BHE,1,42.842,-78.905,2014-06-10 17:40:00,2014-08-05 16:25:00,VR2W,69,124311,MAP-113,,Yes,BHLAS
BHE-920,BHE,1,42.853,-78.883,2014-06-11 12:50:00,2014-08-06 13:11:00,VR2W,69,124289,MAP-113,,Yes,BHLAS
BHE-919,BHE,1,42.846,-78.878,2014-06-11 12:55:00,2014-08-06 12:59:00,VR2W,69,124292,MAP-113,,Yes,BHLAS
BHE-918,BHE,1,42.84,-78.875,2014-06-11 13:00:00,2014-08-06 12:44:00,VR2W,69,124309,MAP-113,,Yes,BHLAS
BHE-923,BHE,1,42.858,-78.898,2014-06-11 13:10:00,2014-08-06 13:57:00,VR2W,69,124312,MAP-113,,Yes,BHLAS
BHE-927,BHE,1,42.874,-78.918,2014-06-11 13:15:00,2014-08-06 15:06:00,VR2W,69,124317,MAP-113,,Yes,BHLAS
BHE-928,BHE,1,42.882,-78.918,2014-06-11 13:20:00,2014-08-06 15:43:00,VR2W,69,124306,MAP-113,,Yes,BHLAS
BHE-922,BHE,1,42.851,-78.901,2014-06-20 13:40:00,2014-08-06 13:44:00,VR2W,69,124304,MAP-113,,Yes,BHLAS
BHE-921,BHE,1,42.852,-78.891,2014-06-20 13:55:00,2014-08-06 13:25:00,VR2W,69,124321,MAP-113,,Yes,BHLAS
BHE-901,BHE,2,42.874,-78.942,2014-08-05 12:44:00,2014-10-30 22:00:00,VR2W,69,124298,,,Yes,BHLAS
BHE-902,BHE,2,42.867,-78.941,2014-08-05 13:02:00,2014-10-30 22:00:00,VR2W,69,124315,MAP-113,,Yes,BHLAS
BHE-903,BHE,2,42.859,-78.94,2014-08-05 13:20:00,2014-10-30 22:00:00,VR2W,69,124297,MAP-113,,Yes,BHLAS
BHE-904,BHE,2,42.851,-78.939,2014-08-05 13:34:00,2014-10-30 22:00:00,VR2W,69,124296,MAP-113,,Yes,BHLAS
BHE-905,BHE,2,42.845,-78.938,2014-08-05 13:54:00,2014-10-30 22:00:00,VR2W,69,124313,MAP-113,,Yes,BHLAS
BHE-906,BHE,2,42.841,-78.93,2014-08-05 14:18:00,2014-10-30 22:00:00,VR2W,69,124290,MAP-113,,Yes,BHLAS
BHE-907,BHE,2,42.839,-78.92,2014-08-05 14:30:00,2014-10-30 22:00:00,VR2W,69,124318,MAP-113,,Yes,BHLAS
BHE-908,BHE,2,42.837,-78.911,2014-08-05 14:48:00,2014-10-30 22:00:00,VR2W,69,124307,MAP-113,,Yes,BHLAS
BHE-909,BHE,2,42.835,-78.901,2014-08-05 15:03:00,2014-10-30 22:00:00,VR2W,69,124308,MAP-113,,Yes,BHLAS
BHE-911,BHE,2,42.832,-78.882,2014-08-05 15:43:00,2014-10-30 22:00:00,VR2W,69,124293,MAP-113,,Yes,BHLAS
BHE-912,BHE,2,42.839,-78.885,2014-08-05 16:00:00,2015-07-07 16:00:00,VR2W,69,124291,MAP-113,,Yes,BHLAS
BHE-913,BHE,2,42.841,-78.895,2014-08-05 16:12:00,2014-10-30 22:00:00,VR2W,69,124303,MAP-113,,Yes,BHLAS
BHE-918,BHE,2,42.84,-78.875,2014-08-06 12:44:00,2015-07-07 15:10:00,VR2W,69,124309,MAP-113,,Yes,BHLAS
BHE-920,BHE,2,42.853,-78.883,2014-08-06 13:11:00,2014-10-30 22:00:00,VR2W,69,124289,MAP-113,,Yes,BHLAS
BHE-922,BHE,2,42.851,-78.901,2014-08-06 13:44:00,2014-10-30 22:00:00,VR2W,69,124304,MAP-113,,Yes,BHLAS
BHE-924,BHE,2,42.864,-78.89,2014-08-06 14:14:00,2014-10-30 22:00:00,VR2W,69,124300,MAP-113,,Yes,BHLAS
BHE-925,BHE,2,42.866,-78.898,2014-08-06 14:35:00,2014-10-30 13:57:00,VR2W,69,124314,MAP-113,,Yes,BHLAS
BHE-926,BHE,2,42.872,-78.906,2014-08-06 14:50:00,2014-10-30 22:00:00,VR2W,69,124302,MAP-113,,Yes,BHLAS
BHE-927,BHE,2,42.874,-78.918,2014-08-06 15:06:00,2014-10-30 22:00:00,VR2W,69,124317,MAP-113,,Yes,BHLAS
BHE-928,BHE,2,42.882,-78.919,2014-08-06 15:43:00,2014-10-30 22:00:00,VR2W,69,124306,MAP-113,,Yes,BHLAS
BHE-929,BHE,2,42.882,-78.908,2014-08-06 16:00:00,2014-10-30 22:00:00,VR2W,69,124316,MAP-113,,Yes,BHLAS
BHE-930,BHE,2,42.878,-78.901,2014-08-06 16:23:00,2014-10-30 22:00:00,VR2W,69,124295,,,Yes,BHLAS
BHE-006,BHE,1,42.838,-78.872,2015-05-05 18:49:00,2015-07-08 14:27:00,VR2W,69,126683,MAP-113,,Yes,BHLAS
BHE-004,BHE,1,42.838,-78.896,2015-05-05 19:05:00,2015-07-08 14:11:00,VR2W,69,124308,MAP-113,,Yes,BHLAS
BHE-002,BHE,1,42.839,-78.921,2015-05-05 19:15:00,2015-07-08 13:38:00,VR2W,69,124290,MAP-113,,Yes,BHLAS
