animal_id,mfr_tag_id,transmitter_id,tag_serial_number,tag_activation_date,est_tag_life,capture_latitude,capture_longitude,capture_depth,wild_or_hatchery,length,weight,sex_field,sex_molec,release_group,utc_release_date_time,date_of_surgery,glatos_tag_recovered,glatos_caught_date,glatos_project
LAS001,A69-9001-31362,31362,1116085,2011-06-28,3650,42.62837,-82.62978,12.8,wild,1.397,18.1,M,,lower St. Clair,2011-06-28 13:30:00,2011-06-28,no,,HECST
LAS002,A69-9001-31363,31363,1116086,2011-06-28,3650,42.62202,-82.61123,15.54,wild,1.377,17.3,,,lower St. Clair,2011-06-28 14:00:00,2011-06-28,no,,HECST
LAS003,A69-9001-31365,31365,1116088,2011-06-28,3650,42.62222,-82.59195,11.58,wild,1.453,20.2,,,lower St. Clair,2011-06-28 15:30:00,2011-06-28,no,,HECST
LAS004,A69-9001-31364,31364,1116087,2011-06-28,3650,42.62222,-82.59195,11.58,wild,1.41,15.9,,,lower St. Clair,2011-06-28 15:30:00,2011-06-28,no,,HECST
LAS005,A69-9001-31366,31366,1116089,2011-06-28,3650,42.62035,-82.58613,11.27,wild,1.262,10.4,,,lower St. Clair,2011-06-28 15:53:00,2011-06-28,no,,HECST
LAS006,A69-9001-31369,31369,1116092,2011-06-28,3650,42.61905,-82.5745,11.27,wild,1.506,25.1,,,lower St. Clair,2011-06-28 16:11:00,2011-06-28,no,,HECST
LAS007,A69-9001-31367,31367,1116090,2011-06-28,3650,42.61905,-82.5745,11.27,wild,1.537,23.4,,,lower St. Clair,2011-06-28 16:15:00,2011-06-28,no,,HECST
LAS008,A69-9001-31368,31368,1116091,2011-06-28,3650,42.61905,-82.5745,11.27,wild,1.659,33.9,,,lower St. Clair,2011-06-28 16:18:00,2011-06-28,no,,HECST
LAS009,A69-9001-31371,31371,1116094,2012-04-05,3650,42.19775,-82.14671,9.5,wild,1.432,21,F,F,Detroit R.,2012-04-05 13:17:00,2012-04-05,no,,HECST
LAS010,A69-9001-31374,31374,1116097,2012-04-12,3650,42.24346,-83.11138,6.9,wild,1.407,17,,M,Detroit R.,2012-04-12 13:30:00,2012-04-12,no,,HECST
LAS011,A69-9001-31372,31372,1116095,2012-04-12,3650,42.20552,-83.14507,8.5,wild,1.308,17,M,F,Detroit R.,2012-04-12 15:55:00,2012-04-12,no,,HECST
LAS012,A69-9001-31378,31378,1116101,2012-04-18,3650,42.20432,-83.146,9.3,wild,1.541,28,,F,Detroit R.,2012-04-18 12:15:00,2012-04-18,no,,HECST
LAS013,A69-9001-31376,31376,1116099,2012-04-18,3650,42.19768,-83.147,9.2,wild,1.423,21,,F,Detroit R.,2012-04-18 13:20:00,2012-04-18,no,,HECST
LAS014,A69-9001-31379,31379,1116102,2012-04-24,3650,42.19739,-83.14711,9.1,wild,1.421,19,M,F,Detroit R.,2012-04-24 13:20:00,2012-04-24,no,,HECST
LAS015,A69-9001-31382,31382,1116105,2012-04-24,3650,42.19739,-83.14711,8.3,wild,1.306,15,M,M,Detroit R.,2012-04-24 15:55:00,2012-04-24,no,,HECST
LAS016,A69-9001-31384,31384,1116107,2012-04-25,3650,42.17709,-83.16105,9.1,wild,1.302,13.5,M,M,Detroit R.,2012-04-25 12:35:00,2012-04-25,no,,HECST
LAS017,A69-9001-31380,31380,1116103,2012-04-25,3650,42.20409,-83.14586,9.5,wild,1.174,15,M,M,Detroit R.,2012-04-25 13:50:00,2012-04-25,no,,HECST
LAS018,A69-9001-31375,31375,1116098,2012-04-25,3650,42.20409,-83.14586,9.5,wild,1.234,17,M,M,Detroit R.,2012-04-25 13:50:00,2012-04-25,no,,HECST
LAS019,A69-9001-31373,31373,1116096,2012-05-22,3650,42.17411,-83.12202,7.3,wild,1.442,19,,F,Detroit R.,2012-05-22 14:40:00,2012-05-22,no,,HECST
LAS021,A69-9001-31391,31391,1116114,2012-05-30,3650,43.00658,-82.41309,10,wild,1.491,20,M,M,upper St. Clair,2012-05-30 12:00:00,2012-05-30,no,,HECST
LAS023,A69-9001-31395,31395,1116118,2012-05-30,3650,43.00733,-82.41279,10,wild,1.547,24,,M,upper St. Clair,2012-05-30 13:30:00,2012-05-30,no,,HECST
LAS024,A69-9001-31393,31393,1116116,2012-05-30,3650,43.00733,-82.41279,10,wild,1.42,18,M,M,upper St. Clair,2012-05-30 13:30:00,2012-05-30,no,,HECST
LAS025,A69-9001-31394,31394,1116117,2012-05-30,3650,43.00733,-82.41279,10,wild,1.774,45,,F,upper St. Clair,2012-05-30 13:30:00,2012-05-30,no,,HECST
LAS026,A69-9001-31392,31392,1116115,2012-05-30,3650,43.00733,-82.41279,10,wild,1.494,22,M,M,upper St. Clair,2012-05-30 13:30:00,2012-05-30,no,,HECST
LAS020,A69-9001-31377,31377,1116100,2012-05-30,3650,42.62928,-82.63405,12.19,wild,1.778,37,F,F,lower St. Clair,2012-05-30 13:42:00,2012-05-30,no,,HECST
LAS022,A69-9001-31370,31370,1116093,2012-05-30,3650,42.6193,-82.5797,10.97,wild,1.569,31,,F,lower St. Clair,2012-05-30 14:32:00,2012-05-30,no,,HECST
LAS027,A69-9001-31389,31389,1116112,2012-05-30,3650,43.00185,-82.41243,8.7,wild,1.379,16,M,M,upper St. Clair,2012-05-30 17:30:00,2012-05-30,no,,HECST
LAS028,A69-9001-31388,31388,1116111,2012-05-30,3650,43.00185,-82.41243,8.7,wild,1.341,17,,M,upper St. Clair,2012-05-30 17:30:00,2012-05-30,no,,HECST
LAS029,A69-9001-31386,31386,1116109,2012-05-30,3650,43.00185,-82.41243,8.7,wild,1.702,34,,F,upper St. Clair,2012-05-30 17:30:00,2012-05-30,no,,HECST
LAS030,A69-9001-31408,31408,1116131,2012-05-30,3650,43.0137,-82.41352,6.8,wild,1.31,17,M,M,upper St. Clair,2012-05-30 19:30:00,2012-05-30,no,,HECST
LAS031,A69-9001-31406,31406,1116129,2012-05-30,3650,43.0137,-82.41352,6.8,wild,1.391,17,,F,upper St. Clair,2012-05-30 19:30:00,2012-05-30,no,,HECST
LAS032,A69-9001-31390,31390,1116113,2012-05-30,3650,43.0137,-82.41352,6.8,wild,1.524,25,,M,upper St. Clair,2012-05-30 19:30:00,2012-05-30,no,,HECST
LAS033,A69-9001-31387,31387,1116110,2012-05-30,3650,43.0137,-82.41352,6.8,wild,1.545,22,M,M,upper St. Clair,2012-05-30 19:30:00,2012-05-30,no,,HECST
